pt,en,domain,source,note
remoção (de ação),transfer,legal-general,Noronha,
remunerado,paid.,legal-general,Noronha,
remunerar,to compensate,legal-general,Noronha,
remunerar,to remunerate; pay; reward; recompense.,legal-general,Noronha,
remuneration (or compensation) and benefits,"remuneração (CLT – inclui todos os benfícios recebidos pelo empregado decorrentes do emprego, diferente do salário que se refere somente ao valor fixo)",legal-general,Noronha,
remuneratório,remuneratory; profitable.,legal-general,Noronha,
remuneração,compensation,competition,CADE,
remuneração,consideration; remuneration; pay; wages; compensation; recompense; accrue (interest); yield; fees,legal-general,Noronha,
remuneração,remuneration; payment.,legal-general,Noronha,
Remuneração acumulada,Accrued compensation,legal-mixed,TIPS,
remuneração indireta,fringe benefits,legal-general,Noronha,
remuneração líquida,net remuneration.,legal-general,Noronha,
remuneração total,total compensation,legal-general,Noronha,
remédio acessório,ancilliary remedy,competition,CADE,
remédio estrutural,structural remedy,competition,CADE,
remédio legal,legal remedy.,legal-general,Noronha,
remédios,remedies,competition,CADE,
remédios antitruste,antitrust remedies,competition,CADE,
remédios comportamentais,behavioural remedies,competition,CADE,
remédios estruturais,structural remedies,competition,CADE,
renda,income; earnings; revenue,legal-general,Noronha,
renda,income; revenue; profits.,legal-general,Noronha,
renda bruta,gross income; gross revenue.,legal-general,Noronha,
renda de bilheteria,box office revenue,legal-general,Noronha,
renda de pessoa física e jurídica,persona & business income,legal-general,Noronha,
renda derivada,derivative income.,legal-general,Noronha,
renda extraordinária,extraordinary income.,legal-general,Noronha,
renda fixa,fixed income,legal-general,Noronha,
renda fixa,fixed income.,legal-general,Noronha,
"renda fixa, título de",fixed income security.,legal-general,Noronha,
renda líquida,net income; net revenue.,legal-general,Noronha,
renda nacional,national income.,legal-general,Noronha,
renda nacional,national revenue,legal-general,Noronha,
renda operacional,operating income,legal-general,Noronha,
renda per capita,per capita income,legal-general,Noronha,
renda per capita,per capita income.,legal-general,Noronha,
renda pública,public revenue.,legal-general,Noronha,
renda tributável,taxable income.,legal-general,Noronha,
renda vitalícia P),income for life.,legal-general,Noronha,
"renda, imposto de",income tax.,legal-general,Noronha,
rendeiro,lessee; renter; lessor.,legal-general,Noronha,
render,to conquer; vanquish; subdue; overcome.,legal-general,Noronha,
render,yield,legal-general,Noronha,
render (hand down) a judgement (to),prolatar sentença,legal-general,Noronha,
rendimento,efficiency (máquina); profit; income; return (capital); yield (títulos); output (industrial production),legal-general,Noronha,
rendimento líquido,net earnings,legal-general,Noronha,
rendimento nominal,face valuation,legal-general,Noronha,
rendimento por hora,output per hour,legal-general,Noronha,
rendimentos,"income (not earnings), esp. as in statements; revenues",legal-general,Noronha,
rendimentos,income; earnings.,legal-general,Noronha,
rendimentos brutos,gross income.,legal-general,Noronha,
rendimentos da caderneta de poupança,saving account earnings,legal-general,Noronha,
rendimentos líquidos,net income.,legal-general,Noronha,
rendimentos mínimos,minimum yields.,legal-general,Noronha,
rendimentos recebidos por,proceeds received by,legal-general,Noronha,
rendimentos tributáveis,taxable income.,legal-general,Noronha,
rendition of judgement,prolação da sentença,legal-general,Noronha,
rendition of judgement,publicação da sentença,legal-general,Noronha,
rendição,surrender; capitulation.,legal-general,Noronha,
rendário,receiver of rents.,legal-general,Noronha,
renegado; exceção,renegate,legal-general,Noronha,
renegociar,to renegotiate.,legal-general,Noronha,
renegociação,renegotiation.,legal-general,Noronha,
renegociação da dívida externa,renegotiation of the foreign debt.,legal-general,Noronha,
renegociação no Clube de Paris,renegotiation at the Paris club.,legal-general,Noronha,
renew,"renovar, refazer, reavivar, reforçar, ratificar, renovar um arrendamento",legal-general,Noronha,
Renewal Notice,Notificação de Renovação,competition,CADE,
renewal of power of attorney,renovação de procuração,legal-general,Noronha,
Renewal Term,Prazo de Prorrogação,competition,CADE,
renome,renown; fame; reputation.,legal-general,Noronha,
renome comercial,goodwill.,legal-general,Noronha,
renovar,to renew; restore; replace; reiterate.,legal-general,Noronha,
renovar o estoque,restock (to),legal-general,Noronha,
renovar um empréstimo,to renew a loan.,legal-general,Noronha,
renovação,renewal; maintenance (seguros),legal-general,Noronha,
renovação,renewal; renovation.,legal-general,Noronha,
renovação da dívida,refinance; renegotiation.,legal-general,Noronha,
Renovação da instância,Ratification of jurisdiction,legal-general,Noronha,
renovação de autorização de outorga de aval,"renewal of the authorizatin for ""aval"" guarantee",legal-general,Noronha,
renovação de deliberações sociais P),ratification of corporate resolutions.,legal-general,Noronha,
renovação de locação,renovation of lease.,legal-general,Noronha,
renovo,sprout; shoot; burgeon.,legal-general,Noronha,
rent,aluguel,legal-general,Noronha,
rent,"arrendamento, aluguel (valor pago)",legal-general,Noronha,
"rent, fee-farm rent",foro (em enfiteuse),legal-general,Noronha,
rentabilidade,earning power; profitability,legal-general,Noronha,
rentabilidade,rentability; profitability; earning power; yield.,legal-general,Noronha,
rentável (adj.),profitable,legal-general,Noronha,
renuncia expressamente ao benefício de ordem,"expressly waives the benefit of order (refers to sueable sequence based on who signed the document first, when more than one signature appeals)",legal-general,Noronha,
renunciador,renouncer; abdicator.,legal-general,Noronha,
renunciamento,renunciation.,legal-general,Noronha,
renunciante,renouncer.,legal-general,Noronha,
renunciar,to renounce; resign; abdicate; waive.,legal-general,Noronha,
renunciar,to waive; resign; relinquish; to forgo,legal-general,Noronha,
renunciation of inheritance,renúncia de herança,legal-general,Noronha,
renunciatório,transferee.,legal-general,Noronha,
renunciação,renouncement; renunciation.,legal-general,Noronha,
renunciável,renunciable.,legal-general,Noronha,
renúncia,motel,legal-general,Noronha,
renúncia,relinquishment; resignation (cargo); waiver (direito); renouncement,legal-general,Noronha,
renúncia,renunciation; resignation; renouncement; waiver.,legal-general,Noronha,
renúncia (autorização de transporte de mercadoria em navio que não seja de bandeira nacional),waiver; rejection; renouncement,legal-general,Noronha,
Renúncia / Dispensa,Waiver,legal-mixed,TIPS,The intentional act of abandoning or refraining from asserting a legal right.
renúncia abdicativa,waiver.,legal-general,Noronha,
renúncia ao direito de imunidade,waiver of immunity,legal-general,Noronha,
renúncia de direito,waiver.,legal-general,Noronha,
renúncia de herança,renunciation of inheritance.,legal-general,Noronha,
Renúncia de privilégio / Renúncia de ônus / Renúncia de penhor / Renúncia de gravame,Lien waiver,legal-mixed,TIPS,A document where a party (contractor or supplier) waives future legal claims or rights over property assets after payment.
renúncia expressa,express waiver.,legal-general,Noronha,
renúncia na ação,waiver of an action.,legal-general,Noronha,
Renúncia/Caducidade,Forfeiture,legal-mixed,TIPS,
reorganization proceedings,concordata,legal-general,Noronha,
repactuar,renegotiate; refinance; refund,legal-general,Noronha,
repagar,to pay back; to repay.,legal-general,Noronha,
reparação,redress,legal-general,Noronha,
reparação,reparation; repair; redress; amends; indemnification.,legal-general,Noronha,
reparação civil,recovery.,legal-general,Noronha,
reparação de danos,damages.,competition,CADE,
reparação judicial,relief,legal-general,Noronha,
reparo,repair; restoration.,legal-general,Noronha,
repartir,to share; allot; parcel out.,legal-general,Noronha,
repartição,allocation; government office.,legal-general,Noronha,
repartição,department; office; sharing,legal-general,Noronha,
repartição pública,public agency; government agency,legal-general,Noronha,
repassar,onlend; pass on (custos),legal-general,Noronha,
repasse,give-up,competition,CADE,
repasse,onlending; repass,legal-general,Noronha,
repasse,pass-through,competition,CADE,
repasse,transfer.,legal-general,Noronha,
repasse de empréstimo externo,transfer of foreign loan.,legal-general,Noronha,
repasse financeiro,financial transfer.,legal-general,Noronha,
repasse parcial,partial give-up,competition,CADE,
repatriado,repatriate.,legal-general,Noronha,
repatriamento,repatriation,legal-general,Noronha,
repatriar,to repatriate; remigrate.,legal-general,Noronha,
repatriação,repatriation.,legal-general,Noronha,
"repaving, overlay",recapeamento,legal-general,Noronha,
repay (to),"ressarcir, reembolsar, pagar (empréstimo), devolver, restituir, pagar a",legal-general,Noronha,
repayment,"pagamento, devolução, restituição, reembolso",legal-general,Noronha,
repayment installment,parcela de reembolso,legal-general,Noronha,
"repayment, reimbursement, refund","reembolso, reembolsar, restituir, desenvolver dinheiro, reconsolidar",legal-general,Noronha,
"repeal, reverse, revoke, overturn a temporary injunction",cassar liminar,legal-general,Noronha,
repelir,to repel; repulse; reject.,legal-general,Noronha,
repercussão,repercussion; impression.,legal-general,Noronha,
repercutir,to reflect.,legal-general,Noronha,
repergunta,cross-examination.,legal-general,Noronha,
reperguntar,to cross-examine.,legal-general,Noronha,
repertório,repertory; index; catalogue; shore.,legal-general,Noronha,
repertório de jurisprudência,digest.,legal-general,Noronha,
repetente,repeater.,legal-general,Noronha,
repetidor,repeater.,legal-general,Noronha,
repetir,to repeat; reiterate.,legal-general,Noronha,
repetição,repetition; recurrence; recovery; reclamation.,legal-general,Noronha,
repetição de indébito,undue payment; double payment in error; claim for refund of undue payment,legal-general,Noronha,
